,Stock,User,Comment,Comment Time
0,AEFES,Kartal Şahin,arkadaslar! aefes tarihinin en yuksek kari gelecek olan 2023/12 aylik bilancosu 21 mart civarinda gonderilecekmis........,3 saat önce
1,AEFES,faruk kırımlı,bira disinda yeni urunler cikarabilir firmamiz o tabana sahip.zamani da coktan geldi artik ... ytd,6 saat önce
2,AEFES,Bünyamin Polat,bu kagidin ilk hedefi neresidir bilen var mi ?,7 saat önce
3,AEFES,Veysel Kara,hareketleri sinir bozucu ama bekleyen kazanacaktir.,8 saat önce
4,AGHOL,Orhan DEMİR,i̇yi gunler yarin satsak cumaya hesaptan cekebiliyor muyduk acaba?,7 saat önce
5,AGHOL,HASAN BİLEN GÖZCÜ,herkese iyi geceler..,7 saat önce
6,AHGAZ,Ata Erturk,surundurur 🤣,1 saat önce
7,AHGAZ,Rain Man,abiler bu vatandasa haci demeyin lutfen. haci ahlaki olmayan birine bu yakistirmayi lutfen yapmayin. pisst diyebilirsiniz lan diyebilirsiniz ama haci demek yok.,1 saat önce
8,AHGAZ,Ata Erturk,abov haci gene hepimizr kuru kuru sokmus 🤣,1 saat önce
9,AHGAZ,Tolunay yükselen,250 milyon alim sozu verdin boyle bir gunde almazsan ne zaman alican mk oglu,2 saat önce
10,AHGAZ,Fatih ÖZAYLI,"ahgaz 7 ,ay oldu oran dusuk ,oynaklik yatay baski hali̇nde. i̇nerken yatay i̇lklerdesi̇n. endeks cikarlen kirmizi yanan tek o. holdi̇ng si̇rketsi̇n . yatirimcida ayarmi kafa sabir mi?kalir . butun si̇gortalar yandi ... yok ... yapicak yorumda kalmadi",2 saat önce
11,AHGAZ,Tolunay yükselen,alim yapsana kansizzzzz haciiiiii kagidini sahiplensene haysiyetsiz namussuzlar,2 saat önce
12,AHGAZ,Hayrettin Akartuna,kaninizi skgm orrr ccklri,3 saat önce
13,AHGAZ,akino akino,lan bir tepki ver artik sabahtan beri olu gibi ne hacim var ne hareket rezi̇l,4 saat önce
14,AHGAZ,Ata Erturk,benim satmami bekliyorlar daha da asagi surecek bu hafta 🤣,4 saat önce
15,AHGAZ,Murat Alkaya,ben hacinin corumlu degilde i̇srailli siyonist oldugu kanisindayim,5 saat önce
16,AHGAZ,Murat Alkaya,adi haci yatirimcin senden bikti hisseni adam gibi cikart millet maliyetini cikarsin.. sende tek basina hissende takil.. sen ve ekibin yatirimcinin kiymetini bilmedi...bir allahini kulu kucuk yatirimci hissene girmiyor...nedeni senin acgozlulugun,5 saat önce
17,AHGAZ,Ata Erturk,akbank alsaydim suan 750bin kazandirmisti 6 ayda 🤣,6 saat önce
18,AHGAZ,Murat Alkaya,birde yorumlariniza dislike atan hacinin dot yalayicilari var,6 saat önce
19,AHGAZ,Murat Alkaya,8 lere dus onun bunun cocugu,7 saat önce
20,AHGAZ,MURAT AYDOĞDU,hayat paylasinca guzel ama seninle degil ahgaz seni terk ediyorum sen halk dusmanisin anlamak 9 ayima mal oldu,8 saat önce
21,AHGAZ,Şevki Demirel,netenyahudan ne farkin kaldi ahgaz,8 saat önce
22,AHGAZ,Ata Erturk,fiyata bak komedi awq🤣,8 saat önce
23,AHGAZ,Erdal Urak,bu alcak badem biyiklilarla bas etmeyiz seytan bunlar ulkeye faydalari yok bizemi olacak yillardir hissedeyiz bos sattim kabus bitti neyim var neyim yok agrott aldim tek sirket borsada tek hisse ve teknoloji hayirlisi olsun benim icin insallah en kisa zamanda sizde kurtulursunuz....kendinize iyi bakin...,9 saat önce
24,AHGAZ,Tolunay yükselen,bist yesilken kirmizi kapatir kirmiziyken aninda kirmizi acar oyle mup..te..zel hisse bu sanipleri tahtacisi gibi...,9 saat önce
25,AKBNK,Metedro Kuark,sert bir duzeltme geliyor.bankalar oncesinde yukari atiliyor.,1 saat önce
26,AKBNK,Anapara2023,bankalar ve koc holding olmasa endeks fena...,1 saat önce
27,AKBNK,Dndj Fjdj,savasciborsaci takip eden kazanir,2 saat önce
28,AKBNK,Sunrise Sunrise,endeks iyice saldi. ak buralarda tutunsa bari…,3 saat önce
29,AKBNK,BARIŞ KARACA,endeks salmaya basladi sikinti,3 saat önce
30,AKBNK,HeraAmonRa,sor bwla 3-5 puan cikiyo duserken gumbur gumbur,3 saat önce
31,AKBNK,Murat Ocak,bankalar tavan burda secim var mal cakiyorlar,4 saat önce
